CustomerID,Age,Gender,Region,MembershipGrade,MonthlyVisitCount,PurchaseAmount,PurchaseQty,ReviewScore,CouponUsed,PurchaseYN,DaysSinceLastPurchase,SignupDate
CUST0001,41,Male,Busan,Silver,6.0,86900.0,4,4.7,1,0,4,2020-11-19
CUST0002,27,Male,Gwangju,Gold,10.0,287500.0,7,4.9,1,1,15,2023-03-16
CUST0003,46,Female,,Gold,11.0,242100.0,5,3.9,1,1,18,2019-11-11
CUST0004,48,Male,Busan,Gold,15.0,300500.0,5,5.0,1,1,69,2024-07-09
CUST0005,19,Male,Gyeonggi,Bronze,8.0,171400.0,2,4.1,1,0,41,2024-03-15
CUST0006,24,Female,Gwangju,Silver,8.0,151300.0,3,3.4,0,0,93,2025-04-03
CUST0007,39,Female,Gyeonggi,Silver,11.0,219700.0,5,3.7,0,1,7,2025-04-06
CUST0008,35,Female,Busan,Bronze,7.0,142800.0,3,4.5,1,0,41,2020-10-02
CUST0009,38,Male,Gyeonggi,Bronze,8.0,202700.0,2,4.4,0,1,9,2023-03-05
CUST0010,29,Female,Incheon,Bronze,10.0,213300.0,6,3.1,0,1,4,2021-03-06
CUST0011,47,Female,Busan,Bronze,9.0,113100.0,3,3.7,0,0,41,2023-09-03
CUST0012,46,Male,Gyeonggi,Silver,10.0,,1,4.1,0,0,23,2021-04-02
CUST0013,39,Female,Daejeon,Gold,10.0,203300.0,1,3.8,1,1,47,2023-04-23
CUST0014,50,Male,Gyeonggi,Bronze,4.0,39100.0,1,5.0,1,0,15,2025-10-06
CUST0015,43,Male,Incheon,Silver,9.0,94400.0,1,4.1,0,0,18,2023-12-16
CUST0016,29,Female,Gyeonggi,Gold,20.0,445700.0,10,4.0,0,1,19,2025-07-03
CUST0017,42,Male,Gyeonggi,Gold,10.0,295200.0,7,4.9,1,1,8,2025-10-27
CUST0018,28,Male,Gyeonggi,Gold,12.0,200000.0,1,3.9,0,0,45,2019-11-07
CUST0019,47,Female,Seoul,Silver,12.0,251300.0,4,4.6,1,1,4,2025-08-21
CUST0020,37,Female,Seoul,Gold,13.0,281900.0,5,3.0,0,1,36,2024-10-18
CUST0021,36,Female,Busan,Bronze,11.0,192300.0,1,3.5,0,1,73,2021-01-22
CUST0022,31,Female,Busan,Silver,9.0,231400.0,5,4.6,0,1,6,2023-01-18
CUST0023,51,Female,Busan,Bronze,9.0,51100.0,2,4.8,1,1,8,2023-11-15
CUST0024,36,Male,Seoul,Silver,10.0,215400.0,5,3.5,1,1,16,2024-02-22
CUST0025,34,Male,Gyeonggi,Silver,9.0,193300.0,2,3.4,0,0,96,2024-09-23
CUST0026,34,Male,Seoul,Bronze,4.0,,1,4.2,1,0,10,2019-06-11
CUST0027,44,Male,Daegu,Gold,14.0,265000.0,3,3.7,0,1,6,2019-10-27
CUST0028,42,Female,Daejeon,Bronze,7.0,201500.0,5,3.6,1,1,20,2020-08-28
CUST0029,42,Male,Seoul,Bronze,9.0,145400.0,1,4.4,0,1,2,2022-01-21
CUST0030,43,Male,Busan,Bronze,11.0,264800.0,4,3.4,0,0,39,2024-05-27
CUST0031,60,Male,Seoul,Silver,13.0,280300.0,3,2.7,0,0,4,2023-09-03
